Wavelength (nm),Sum,Zn I (1.1e-01),Zn II (8.9e-01)
210.013,5.003e+9,,5.003e+9
210.018,3.072e+9,,3.072e+9
210.023,1.685e+9,,1.685e+9
210.028,8.246e+8,,8.246e+8
210.033,3.604e+8,,3.604e+8
210.038,1.406e+8,,1.406e+8
210.043,4.899e+7,,4.899e+7
210.048,1.524e+7,,1.524e+7
210.053,4.231e+6,,4.231e+6
210.058,1.049e+6,,1.049e+6
210.063,2.322e+5,,2.322e+5
210.068,4.589e+4,,4.589e+4
210.073,8.096e+3,,8.096e+3
210.078,1.275e+3,,1.275e+3
210.083,1.794e+2,,1.794e+2
210.088,2.252e+1,,2.252e+1
210.093,2.525e+0,,2.525e+0
210.098,2.527e-1,,2.527e-1
210.103,2.271e-2,,2.271e-2
210.108,3.421e-3,,3.421e-3
210.113,1.857e-2,,1.857e-2
210.118,1.876e-1,,1.876e-1
210.123,1.704e+0,,1.704e+0
210.128,1.382e+1,,1.382e+1
210.133,1.001e+2,,1.001e+2
210.138,6.473e+2,,6.473e+2
210.143,3.739e+3,,3.739e+3
210.148,1.929e+4,,1.929e+4
210.153,8.884e+4,,8.884e+4
210.158,3.654e+5,,3.654e+5
210.163,1.342e+6,,1.342e+6
210.168,4.404e+6,,4.404e+6
210.173,1.290e+7,,1.290e+7
210.178,3.375e+7,,3.375e+7
210.183,7.886e+7,,7.886e+7
210.188,1.645e+8,,1.645e+8
210.193,3.066e+8,,3.066e+8
210.198,5.101e+8,,5.101e+8
210.203,7.579e+8,,7.579e+8
210.208,1.006e+9,,1.006e+9
210.213,1.192e+9,,1.192e+9
210.218,1.261e+9,,1.261e+9
210.223,1.192e+9,,1.192e+9
210.228,1.006e+9,,1.006e+9
210.233,7.579e+8,,7.579e+8
210.238,5.101e+8,,5.101e+8
210.243,3.066e+8,,3.066e+8
210.248,1.645e+8,,1.645e+8
210.253,7.886e+7,,7.886e+7
210.258,3.375e+7,,3.375e+7
210.263,1.290e+7,,1.290e+7
210.268,4.404e+6,,4.404e+6
210.273,1.342e+6,,1.342e+6
210.278,3.654e+5,,3.654e+5
210.283,8.884e+4,,8.884e+4
210.288,1.929e+4,,1.929e+4
210.293,3.739e+3,,3.739e+3
210.298,6.473e+2,,6.473e+2
210.303,1.001e+2,,1.001e+2
210.308,1.382e+1,,1.382e+1
210.313,1.704e+0,,1.704e+0
210.318,1.876e-1,,1.876e-1
210.323,1.844e-2,,1.844e-2
