Wavelength (nm),Sum(calc),Cu I (8.6e-2),Cu II (9.1e-1)
205.490,5.779e+10,2.060e-10,5.779e+10
205.495,6.582e+10,2.059e-10,6.582e+10
205.500,6.661e+10,2.059e-10,6.661e+10
205.505,5.987e+10,2.059e-10,5.987e+10
205.510,4.781e+10,2.058e-10,4.781e+10
205.515,3.392e+10,2.058e-10,3.392e+10
205.520,2.137e+10,2.058e-10,2.137e+10
205.525,1.196e+10,2.057e-10,1.196e+10
205.530,5.950e+9,2.057e-10,5.950e+9
205.535,2.629e+9,2.057e-10,2.629e+9
205.540,1.032e+9,2.056e-10,1.032e+9
205.545,3.596e+8,2.056e-10,3.596e+8
205.550,1.114e+8,2.056e-10,1.114e+8
205.555,3.064e+7,2.055e-10,3.064e+7
205.560,7.488e+6,2.055e-10,7.488e+6
205.565,1.626e+6,2.055e-10,1.626e+6
205.570,3.136e+5,2.054e-10,3.136e+5
205.575,5.372e+4,2.054e-10,5.372e+4
205.580,8.176e+3,2.054e-10,8.176e+3
205.585,1.105e+3,2.053e-10,1.105e+3
205.590,1.328e+2,2.053e-10,1.328e+2
205.595,1.417e+1,2.053e-10,1.417e+1
205.600,1.343e+0,2.052e-10,1.343e+0
205.605,1.130e-1,2.052e-10,1.130e-1
205.610,8.456e-3,2.052e-10,8.456e-3
205.615,5.618e-4,2.051e-10,5.618e-4
205.620,3.316e-5,2.051e-10,3.316e-5
205.625,1.739e-6,2.051e-10,1.739e-6
205.630,8.100e-8,2.050e-10,8.100e-8
205.635,3.352e-9,2.050e-10,3.352e-9
206.102,2.560e-12,2.019e-10,2.560e-12
206.107,6.489e-11,2.018e-10,6.489e-11
206.112,1.462e-9,2.018e-10,1.462e-9
206.117,2.930e-8,2.018e-10,2.930e-8
206.122,5.219e-7,2.017e-10,5.219e-7
206.127,8.265e-6,2.017e-10,8.265e-6
206.132,1.164e-4,2.017e-10,1.164e-4
206.137,1.457e-3,2.016e-10,1.457e-3
206.142,1.622e-2,2.016e-10,1.622e-2
206.147,1.605e-1,2.016e-10,1.605e-1
206.152,1.412e+0,2.015e-10,1.412e+0
