Wavelength (nm),Sum,Pb I (4.4e-02),Pb II (9.5e-01)
406.312,8.945e+6,8.945e+6,
406.317,4.865e+6,4.865e+6,
406.322,2.567e+6,2.567e+6,
406.327,1.314e+6,1.314e+6,
406.332,6.525e+5,6.525e+5,
406.337,3.144e+5,3.144e+5,
406.342,1.469e+5,1.469e+5,
406.347,6.663e+4,6.663e+4,
406.352,2.931e+4,2.931e+4,
406.357,1.251e+4,1.251e+4,
406.362,5.180e+3,5.180e+3,
406.367,2.081e+3,2.081e+3,
406.372,8.108e+2,8.108e+2,
406.377,3.066e+2,3.066e+2,
406.382,1.124e+2,1.124e+2,
406.387,4.001e+1,4.001e+1,
406.392,1.381e+1,1.381e+1,
406.397,4.626e+0,4.626e+0,
406.402,1.503e+0,1.503e+0,
406.407,4.738e-1,4.738e-1,
406.412,1.449e-1,1.449e-1,
406.417,4.299e-2,4.299e-2,
406.422,1.237e-2,1.237e-2,
406.427,3.455e-3,3.455e-3,
406.432,9.360e-4,9.360e-4,
406.437,2.460e-4,2.460e-4,
406.442,6.272e-5,6.272e-5,
406.447,1.552e-5,1.552e-5,
406.452,3.724e-6,3.724e-6,
406.457,8.669e-7,8.669e-7,
500.242,9.621e-8,9.621e-8,
500.247,3.154e-7,3.154e-7,
500.252,1.014e-6,1.014e-6,
500.257,3.194e-6,3.194e-6,
500.262,9.862e-6,9.862e-6,
500.267,2.985e-5,2.985e-5,
500.272,8.858e-5,8.858e-5,
500.277,2.577e-4,2.577e-4,
500.282,7.346e-4,7.346e-4,
500.287,2.053e-3,2.053e-3,
500.292,5.625e-3,5.625e-3,
500.297,1.511e-2,1.511e-2,
500.302,3.976e-2,3.976e-2,
500.307,1.026e-1,1.026e-1,
500.312,2.595e-1,2.595e-1,
500.317,6.435e-1,6.435e-1,
500.322,1.564e+0,1.564e+0,
500.327,3.726e+0,3.726e+0,
500.332,8.702e+0,8.702e+0,
500.337,1.992e+1,1.992e+1,
500.342,4.470e+1,4.470e+1,
500.347,9.832e+1,9.832e+1,
500.352,2.120e+2,2.120e+2,
500.357,4.481e+2,4.481e+2,
500.362,9.283e+2,9.283e+2,
500.367,1.885e+3,1.885e+3,
500.372,3.753e+3,3.753e+3,
500.377,7.324e+3,7.324e+3,
500.382,1.401e+4,1.401e+4,
500.387,2.627e+4,2.627e+4,
