Wavelength (nm),Sum(calc),Ti I (1.8e-2),Ti II (9.6e-1),Ti III (2.1e-2)
226.404,1.165e+8,1.165e+8,,8.864e-13
226.409,1.067e+8,1.067e+8,,8.880e-13
226.414,8.864e+7,8.864e+7,,8.897e-13
226.419,6.680e+7,6.680e+7,,8.914e-13
226.424,4.566e+7,4.566e+7,,8.930e-13
226.429,2.831e+7,2.831e+7,,8.947e-13
226.434,1.592e+7,1.592e+7,,8.963e-13
226.439,8.123e+6,8.123e+6,,8.980e-13
226.444,3.759e+6,3.759e+6,,8.996e-13
226.449,1.578e+6,1.578e+6,,9.013e-13
226.454,6.006e+5,6.006e+5,,9.029e-13
226.459,2.074e+5,2.074e+5,,9.046e-13
226.464,6.497e+4,6.497e+4,,9.063e-13
226.469,1.846e+4,1.846e+4,,9.079e-13
226.474,4.757e+3,4.757e+3,,9.096e-13
226.479,1.112e+3,1.112e+3,,9.112e-13
226.484,2.358e+2,2.358e+2,,9.129e-13
226.489,4.536e+1,4.536e+1,,9.145e-13
226.494,7.913e+0,7.913e+0,,9.162e-13
226.499,1.252e+0,1.252e+0,,9.178e-13
226.504,1.797e-1,1.797e-1,,9.195e-13
226.509,2.340e-2,2.340e-2,,9.212e-13
226.514,2.763e-3,2.763e-3,,9.228e-13
226.519,2.960e-4,2.960e-4,,9.245e-13
226.524,2.876e-5,2.876e-5,,9.261e-13
226.529,2.535e-6,2.535e-6,,9.278e-13
226.534,2.026e-7,2.026e-7,,9.294e-13
226.539,1.469e-8,1.469e-8,,9.311e-13
226.544,9.665e-10,9.665e-10,,9.328e-13
226.549,5.766e-11,5.766e-11,,9.344e-13
227.523,3.712e-10,3.712e-10,,1.257e-12
227.528,6.030e-9,6.030e-9,,1.259e-12
227.533,8.895e-8,8.895e-8,,1.260e-12
227.538,1.191e-6,1.191e-6,,1.262e-12
227.543,1.449e-5,1.449e-5,,1.264e-12
227.548,1.600e-4,1.600e-4,,1.265e-12
227.553,1.605e-3,1.605e-3,,1.267e-12
227.558,1.462e-2,1.462e-2,,1.269e-12
