Wavelength (nm),Sum(calc),Al I (4.9e-2),Al II (9.5e-1),Al III (7.0e-4)
209.633,1.673e-7,,1.673e-7,2.071e-22
209.638,1.049e-8,,1.049e-8,2.070e-22
209.643,5.867e-10,,5.867e-10,2.070e-22
209.648,2.929e-11,,2.929e-11,2.069e-22
209.653,1.305e-12,,1.305e-12,2.069e-22
209.658,5.191e-14,,5.191e-14,2.068e-22
209.663,1.821e-15,,1.821e-15,2.068e-22
211.679,1.891e-14,1.891e-14,2.699e-15,1.873e-22
211.684,5.410e-13,5.410e-13,2.701e-15,1.872e-22
211.689,1.385e-11,1.385e-11,2.703e-15,1.872e-22
211.694,3.171e-10,3.171e-10,2.706e-15,1.871e-22
211.699,6.496e-9,6.496e-9,2.708e-15,1.871e-22
211.704,1.190e-7,1.190e-7,2.710e-15,1.870e-22
211.709,1.951e-6,1.951e-6,2.712e-15,1.870e-22
211.714,2.861e-5,2.861e-5,2.714e-15,1.869e-22
211.719,3.753e-4,3.753e-4,2.717e-15,1.869e-22
211.724,4.404e-3,4.404e-3,2.719e-15,1.868e-22
211.729,4.623e-2,4.623e-2,2.721e-15,1.868e-22
211.734,4.342e-1,4.342e-1,2.723e-15,1.867e-22
211.739,3.647e+0,3.647e+0,2.725e-15,1.867e-22
211.744,2.740e+1,2.740e+1,2.727e-15,1.866e-22
211.749,1.842e+2,1.842e+2,2.730e-15,1.866e-22
211.754,1.108e+3,1.108e+3,2.732e-15,1.865e-22
211.759,5.959e+3,5.959e+3,2.734e-15,1.865e-22
211.764,2.867e+4,2.867e+4,2.736e-15,1.865e-22
211.769,1.234e+5,1.234e+5,2.738e-15,1.864e-22
211.774,4.753e+5,4.753e+5,2.740e-15,1.864e-22
211.779,1.637e+6,1.637e+6,2.743e-15,1.863e-22
211.784,5.045e+6,5.045e+6,2.745e-15,1.863e-22
211.789,1.391e+7,1.391e+7,2.747e-15,1.862e-22
211.794,3.429e+7,3.429e+7,2.749e-15,1.862e-22
211.800,8.744e+7,8.744e+7,2.752e-15,1.861e-22
211.805,1.687e+8,1.687e+8,2.754e-15,1.861e-22
211.810,2.913e+8,2.913e+8,2.756e-15,1.860e-22
211.815,4.498e+8,4.498e+8,2.758e-15,1.860e-22
211.820,6.214e+8,6.214e+8,2.761e-15,1.859e-22
211.825,7.680e+8,7.680e+8,2.763e-15,1.859e-22
211.830,8.490e+8,8.490e+8,2.765e-15,1.858e-22
211.835,8.396e+8,8.396e+8,2.767e-15,1.858e-22
211.840,7.427e+8,7.427e+8,2.769e-15,1.857e-22
211.845,5.878e+8,5.878e+8,2.771e-15,1.857e-22
211.850,4.161e+8,4.161e+8,2.774e-15,1.856e-22
211.855,2.635e+8,2.635e+8,2.776e-15,1.856e-22
211.860,1.493e+8,1.493e+8,2.778e-15,1.855e-22
211.865,7.565e+7,7.565e+7,2.780e-15,1.855e-22
211.870,3.429e+7,3.429e+7,2.782e-15,1.854e-22
211.875,1.391e+7,1.391e+7,2.784e-15,1.854e-22
211.880,5.045e+6,5.045e+6,2.787e-15,1.853e-22
211.885,1.637e+6,1.637e+6,2.789e-15,1.853e-22
211.890,4.753e+5,4.753e+5,2.791e-15,1.852e-22
211.895,1.234e+5,1.234e+5,2.793e-15,1.852e-22
211.900,2.867e+4,2.867e+4,2.795e-15,1.851e-22
211.905,5.959e+3,5.959e+3,2.798e-15,1.851e-22
211.910,1.108e+3,1.108e+3,2.800e-15,1.850e-22
211.915,1.842e+2,1.842e+2,2.802e-15,1.850e-22
211.920,2.740e+1,2.740e+1,2.804e-15,1.849e-22
211.925,3.647e+0,3.647e+0,2.806e-15,1.849e-22
211.930,4.342e-1,4.342e-1,2.808e-15,1.848e-22
211.935,4.623e-2,4.623e-2,2.811e-15,1.848e-22
211.940,4.404e-3,4.404e-3,2.813e-15,1.848e-22
211.945,3.753e-4,3.753e-4,2.815e-15,1.847e-22
211.950,2.861e-5,2.861e-5,2.817e-15,1.847e-22
211.955,1.951e-6,1.951e-6,2.819e-15,1.846e-22
211.960,1.190e-7,1.190e-7,2.822e-15,1.846e-22
211.965,6.496e-9,6.496e-9,2.824e-15,1.845e-22
211.970,3.171e-10,3.171e-10,2.826e-15,1.845e-22
211.975,1.385e-11,1.385e-11,2.828e-15,1.844e-22
212.187,6.923e-13,6.923e-13,2.920e-15,1.824e-22
212.192,1.784e-11,1.784e-11,2.923e-15,1.823e-22
212.197,4.116e-10,4.116e-10,2.925e-15,1.823e-22
212.202,8.498e-9,8.498e-9,2.927e-15,1.822e-22
212.207,1.570e-7,1.570e-7,2.929e-15,1.822e-22
212.212,2.597e-6,2.597e-6,2.931e-15,1.821e-22
212.217,3.844e-5,3.844e-5,2.934e-15,1.821e-22
212.222,5.093e-4,5.093e-4,2.936e-15,1.820e-22
212.227,6.040e-3,6.040e-3,2.938e-15,1.820e-22
212.232,6.410e-2,6.410e-2,2.940e-15,1.819e-22
212.237,6.089e-1,6.089e-1,2.942e-15,1.819e-22
