Wavelength (nm),Sum(calc),Ag I (7.1e-2),Ag II (9.3e-1)
217.02,1.439e+7,2.510e-7,1.439e+7
217.04,2.108e+7,2.515e-7,2.108e+7
217.06,2.652e+7,2.519e-7,2.652e+7
217.07,2.808e+7,2.521e-7,2.808e+7
217.09,2.808e+7,2.526e-7,2.808e+7
217.11,2.410e+7,2.530e-7,2.410e+7
217.12,2.108e+7,2.532e-7,2.108e+7
217.14,1.439e+7,2.537e-7,1.439e+7
217.16,8.430e+6,2.541e-7,8.430e+6
217.17,6.093e+6,2.543e-7,6.093e+6
217.19,2.838e+6,2.548e-7,2.838e+6
217.21,1.135e+6,2.552e-7,1.135e+6
217.22,6.776e+5,2.555e-7,6.776e+5
217.24,2.154e+5,2.559e-7,2.154e+5
217.26,5.878e+4,2.563e-7,5.878e+4
217.27,2.900e+4,2.566e-7,2.900e+4
217.29,6.292e+3,2.570e-7,6.292e+3
217.31,1.172e+3,2.574e-7,1.172e+3
217.32,4.776e+2,2.577e-7,4.776e+2
217.34,7.073e+1,2.581e-7,7.073e+1
217.36,8.990e+0,2.586e-7,8.990e+0
217.37,3.027e+0,2.588e-7,3.027e+0
217.39,3.059e-1,2.592e-7,3.059e-1
217.41,2.654e-2,2.597e-7,2.654e-2
217.42,7.383e-3,2.599e-7,7.383e-3
217.44,5.093e-4,2.603e-7,5.093e-4
217.45,1.263e-4,2.605e-7,1.263e-4
217.47,6.930e-6,2.610e-7,6.930e-6
217.49,3.263e-7,2.614e-7,3.263e-7
217.50,6.686e-8,2.616e-7,6.686e-8
217.52,2.503e-9,2.621e-7,2.503e-9
217.54,8.044e-11,2.625e-7,8.044e-11
218.22,1.675e-8,2.776e-7,1.675e-8
218.23,9.284e-8,2.778e-7,9.284e-8
218.25,2.549e-6,2.782e-7,2.549e-6
218.27,6.019e-5,2.787e-7,6.019e-5
218.28,2.764e-4,2.789e-7,2.764e-4
218.30,5.208e-3,2.794e-7,5.208e-3
218.31,2.136e-2,2.796e-7,2.136e-2
218.33,3.212e-1,2.800e-7,3.212e-1
