Wavelength (nm),Sum(calc),Al I (3.9e-2),Al II (7.6e-1),Al III (5.6e-4),Si I (2.2e-2),Si II (1.8e-1),Si III (1.5e-4)
205.762,1.167e+6,,8.595e-12,,1.167e+6,2.443e-13,3.388e-19
205.767,3.667e+6,,8.607e-12,,3.667e+6,2.444e-13,3.377e-19
205.772,1.024e+7,,8.619e-12,,1.024e+7,2.444e-13,3.367e-19
205.777,2.541e+7,,8.631e-12,,2.541e+7,2.444e-13,3.356e-19
205.782,5.603e+7,,8.642e-12,,5.603e+7,2.444e-13,3.346e-19
205.787,1.098e+8,,8.654e-12,,1.098e+8,2.445e-13,3.335e-19
205.792,1.912e+8,,8.666e-12,,1.912e+8,2.445e-13,3.324e-19
205.797,2.960e+8,,8.678e-12,,2.960e+8,2.445e-13,3.314e-19
205.802,4.071e+8,,8.690e-12,,4.071e+8,2.445e-13,3.303e-19
205.807,4.975e+8,,8.701e-12,,4.975e+8,2.446e-13,3.293e-19
205.812,5.404e+8,,8.713e-12,,5.404e+8,2.446e-13,3.282e-19
205.817,5.216e+8,,8.725e-12,,5.216e+8,2.446e-13,3.272e-19
205.822,4.474e+8,,8.737e-12,,4.474e+8,2.446e-13,3.261e-19
205.827,3.410e+8,,8.748e-12,,3.410e+8,2.447e-13,3.250e-19
205.832,2.310e+8,,8.760e-12,,2.310e+8,2.447e-13,3.240e-19
205.837,1.391e+8,,8.772e-12,,1.391e+8,2.447e-13,3.229e-19
205.842,7.438e+7,,8.784e-12,,7.438e+7,2.448e-13,3.219e-19
205.847,3.536e+7,,8.796e-12,,3.536e+7,2.448e-13,3.208e-19
205.852,1.494e+7,,8.807e-12,,1.494e+7,2.448e-13,3.198e-19
205.857,5.608e+6,,8.819e-12,,5.608e+6,2.448e-13,3.187e-19
205.862,1.871e+6,,8.831e-12,,1.871e+6,2.449e-13,3.176e-19
205.867,5.547e+5,,8.843e-12,,5.547e+5,2.449e-13,3.166e-19
205.872,1.461e+5,,8.854e-12,,1.461e+5,2.449e-13,3.155e-19
205.877,3.422e+4,,8.866e-12,,3.422e+4,2.449e-13,3.145e-19
205.882,7.119e+3,,8.878e-12,,7.119e+3,2.450e-13,3.134e-19
205.887,1.316e+3,,8.890e-12,,1.316e+3,2.450e-13,3.124e-19
205.892,2.163e+2,,8.902e-12,,2.163e+2,2.450e-13,3.113e-19
205.897,3.158e+1,,8.913e-12,,3.158e+1,2.451e-13,3.103e-19
205.902,4.098e+0,,8.925e-12,,4.098e+0,2.451e-13,3.092e-19
205.907,4.726e-1,,8.937e-12,,4.726e-1,2.451e-13,3.081e-19
205.912,4.843e-2,,8.949e-12,,4.843e-2,2.451e-13,3.071e-19
205.917,4.410e-3,,8.960e-12,,4.410e-3,2.452e-13,3.060e-19
205.922,3.569e-4,,8.972e-12,,3.569e-4,2.452e-13,3.050e-19
