Wavelength (nm),Sum(calc),Mn I (1.3e-2),Mn II (3.9e-1),Cu I (5.2e-2),Cu II (5.5e-1)
203.513,1.676e+5,,2.031e-12,7.272e-12,1.676e+5
203.518,8.963e+5,,2.034e-12,7.300e-12,8.963e+5
203.523,4.249e+6,,2.037e-12,7.328e-12,4.249e+6
203.528,1.786e+7,,2.039e-12,7.357e-12,1.786e+7
203.533,6.650e+7,,2.042e-12,7.385e-12,6.650e+7
203.538,2.195e+8,,2.045e-12,7.414e-12,2.195e+8
203.543,6.424e+8,,2.048e-12,7.442e-12,6.424e+8
203.548,1.666e+9,,2.051e-12,7.470e-12,1.666e+9
203.553,3.830e+9,,2.053e-12,7.499e-12,3.830e+9
203.558,7.804e+9,,2.056e-12,7.527e-12,7.804e+9
203.563,1.409e+10,,2.059e-12,7.555e-12,1.409e+10
203.568,2.256e+10,,2.062e-12,7.584e-12,2.256e+10
203.573,3.201e+10,,2.064e-12,7.612e-12,3.201e+10
203.578,4.026e+10,,2.067e-12,7.640e-12,4.026e+10
203.583,4.487e+10,,2.070e-12,7.669e-12,4.487e+10
203.588,4.433e+10,,2.073e-12,7.697e-12,4.433e+10
203.593,3.883e+10,,5.973e-11,7.726e-12,3.883e+10
203.598,3.014e+10,,1.526e-9,7.754e-12,3.014e+10
203.603,2.073e+10,,3.455e-8,7.782e-12,2.073e+10
203.608,1.264e+10,,6.937e-7,7.811e-12,1.264e+10
203.613,6.834e+9,,1.235e-5,7.839e-12,6.834e+9
203.618,3.274e+9,,1.948e-4,7.867e-12,3.274e+9
203.623,1.390e+9,,2.725e-3,7.896e-12,1.390e+9
203.628,5.233e+8,,3.379e-2,7.924e-12,5.233e+8
203.633,1.746e+8,,3.715e-1,7.953e-12,1.746e+8
203.638,5.176e+7,,3.620e+0,7.981e-12,5.176e+7
203.643,1.414e+7,,3.127e+1,8.009e-12,1.414e+7
203.648,5.689e+6,,2.395e+2,8.038e-12,5.689e+6
203.653,1.062e+7,,1.626e+3,8.066e-12,1.062e+7
203.658,3.634e+7,,9.788e+3,8.094e-12,3.633e+7
203.663,1.206e+8,,5.223e+4,8.123e-12,1.205e+8
203.668,3.641e+8,,2.471e+5,8.151e-12,3.639e+8
203.673,9.895e+8,,1.036e+6,8.179e-12,9.885e+8
203.678,2.407e+9,,3.851e+6,8.208e-12,2.403e+9
203.683,5.224e+9,,1.269e+7,8.236e-12,5.211e+9
203.688,1.009e+10,,3.708e+7,8.265e-12,1.005e+10
203.693,1.732e+10,,9.605e+7,8.293e-12,1.723e+10
203.698,2.643e+10,,2.206e+8,8.321e-12,2.621e+10
203.703,3.583e+10,,4.491e+8,8.350e-12,3.538e+10
203.708,4.317e+10,,8.107e+8,8.378e-12,4.236e+10
203.713,4.626e+10,,1.299e+9,8.406e-12,4.497e+10
203.718,4.417e+10,,1.847e+9,8.435e-12,4.233e+10
203.723,3.766e+10,,2.337e+9,8.463e-12,3.532e+10
203.728,2.878e+10,,2.643e+9,8.492e-12,2.613e+10
203.733,1.984e+10,,2.701e+9,8.520e-12,1.714e+10
203.738,1.251e+10,,2.548e+9,8.548e-12,9.966e+9
203.743,7.444e+9,,2.307e+9,8.577e-12,5.137e+9
203.748,4.461e+9,,2.114e+9,8.605e-12,2.348e+9
203.753,2.986e+9,,2.035e+9,8.633e-12,9.510e+8
203.758,2.379e+9,,2.038e+9,8.662e-12,3.415e+8
203.763,2.130e+9,,2.021e+9,8.690e-12,1.087e+8
203.768,1.922e+9,,1.891e+9,8.719e-12,3.068e+7
203.773,1.624e+9,,1.617e+9,8.747e-12,7.676e+6
203.778,1.244e+9,,1.242e+9,8.775e-12,1.702e+6
203.783,8.514e+8,,8.511e+8,8.804e-12,3.347e+5
203.788,5.185e+8,,5.184e+8,8.832e-12,5.833e+4
203.793,2.803e+8,,2.803e+8,8.860e-12,9.013e+3
203.798,1.344e+8,,1.344e+8,8.889e-12,1.234e+3
203.803,5.715e+7,,5.714e+7,8.917e-12,1.499e+2
203.808,2.154e+7,,2.154e+7,8.945e-12,1.613e+1
203.813,7.201e+6,,7.201e+6,8.974e-12,1.539e+0
203.818,2.134e+6,,2.134e+6,9.002e-12,1.302e-1
203.823,5.606e+5,,5.606e+5,9.031e-12,9.765e-3
203.828,1.306e+5,,1.306e+5,9.059e-12,6.491e-4
203.833,2.696e+4,,2.696e+4,9.087e-12,3.825e-5
203.838,4.935e+3,,4.935e+3,9.116e-12,1.998e-6
203.843,8.008e+2,,8.008e+2,9.144e-12,9.255e-8
203.848,1.152e+2,,1.152e+2,9.172e-12,3.800e-9
203.853,1.470e+1,,1.470e+1,9.201e-12,1.383e-10
203.858,1.662e+0,,1.662e+0,9.229e-12,1.369e-10
203.863,1.666e-1,,1.666e-1,9.258e-12,1.354e-10
203.868,1.481e-2,,1.481e-2,9.286e-12,1.340e-10
203.873,1.167e-3,,1.167e-3,9.314e-12,1.326e-10
203.878,8.399e-5,,8.399e-5,9.343e-12,1.312e-10
203.883,4.609e-5,,4.609e-5,9.371e-12,1.298e-10
203.888,5.985e-4,,5.985e-4,9.399e-12,1.283e-10
203.893,7.732e-3,,7.732e-3,9.428e-12,1.269e-10
203.898,8.862e-2,,8.862e-2,9.456e-12,1.255e-10
203.903,9.008e-1,,9.008e-1,9.484e-12,1.241e-10
203.908,8.120e+0,,8.120e+0,9.513e-12,1.227e-10
