Wavelength (nm),Sum(calc),Ni I (6.8e-2),Ni II (9.3e-1),Ni III (6.9e-4)
212.236,5.915e-1,5.915e-1,1.929e-10,
212.241,6.483e-2,6.483e-2,1.927e-10,
212.246,6.358e-3,6.358e-3,1.925e-10,
212.251,5.579e-4,5.579e-4,1.922e-10,
212.256,4.382e-5,4.382e-5,1.920e-10,
212.261,3.079e-6,3.079e-6,1.918e-10,
212.266,1.936e-7,1.936e-7,1.916e-10,
212.271,1.089e-8,1.089e-8,1.913e-10,
212.276,5.486e-10,5.486e-10,1.911e-10,
212.341,5.482e-11,5.482e-11,1.882e-10,
212.346,1.152e-9,1.152e-9,1.879e-10,
212.351,2.169e-8,2.169e-8,1.877e-10,
212.356,3.653e-7,3.653e-7,1.875e-10,
