Wavelength (nm),Sum(calc),Cu I (3.0e-1),Cu II (7.0e-1)
207.24,6.215e-2,1.318e-7,6.215e-2
207.26,6.994e-3,1.315e-7,6.994e-3
207.28,6.653e-4,1.312e-7,6.653e-4
207.29,1.927e-4,1.311e-7,1.927e-4
207.31,1.424e-5,1.308e-7,1.424e-5
207.33,8.901e-7,1.305e-7,8.901e-7
207.34,2.089e-7,1.304e-7,2.089e-7
207.36,1.015e-8,1.301e-7,1.015e-8
207.38,4.166e-10,1.298e-7,4.166e-10
207.39,7.926e-11,1.296e-7,7.926e-11
207.41,2.529e-12,1.294e-7,2.529e-12
207.43,1.924e-12,1.291e-7,1.924e-12
207.44,1.136e-11,1.289e-7,1.136e-11
207.46,3.760e-10,1.286e-7,3.760e-10
207.48,1.053e-8,1.283e-7,1.053e-8
207.49,5.237e-8,1.282e-7,5.237e-8
207.51,1.143e-6,1.279e-7,1.143e-6
207.53,2.110e-5,1.276e-7,2.110e-5
207.54,8.520e-5,1.275e-7,8.520e-5
207.56,1.226e-3,1.272e-7,1.226e-3
207.58,1.492e-2,1.269e-7,1.492e-2
207.59,4.892e-2,1.268e-7,4.892e-2
207.61,4.639e-1,1.265e-7,4.639e-1
207.63,3.724e+0,1.262e-7,3.724e+0
207.64,9.913e+0,1.260e-7,9.913e+0
207.66,6.198e+1,1.258e-7,6.198e+1
207.68,3.281e+2,1.255e-7,3.281e+2
207.69,7.090e+2,1.253e-7,7.090e+2
207.71,2.923e+3,1.250e-7,2.923e+3
207.73,1.020e+4,1.247e-7,1.020e+4
207.74,1.790e+4,1.246e-7,1.790e+4
207.76,4.864e+4,1.243e-7,4.864e+4
207.78,1.119e+5,1.240e-7,1.119e+5
207.79,1.595e+5,1.239e-7,1.595e+5
207.81,2.857e+5,1.236e-7,2.857e+5
207.83,4.334e+5,1.233e-7,4.334e+5
207.84,5.014e+5,1.232e-7,5.014e+5
207.86,5.923e+5,1.229e-7,5.923e+5
207.88,5.923e+5,1.226e-7,5.923e+5
207.89,5.564e+5,1.224e-7,5.564e+5
207.91,4.334e+5,1.221e-7,4.334e+5
207.93,2.857e+5,1.219e-7,2.857e+5
207.94,2.179e+5,1.217e-7,2.179e+5
207.96,1.119e+5,1.214e-7,1.119e+5
207.98,4.864e+4,1.211e-7,4.864e+4
207.99,3.013e+4,1.210e-7,3.013e+4
208.01,1.020e+4,1.207e-7,1.020e+4
208.03,2.923e+3,1.204e-7,2.923e+3
208.04,1.470e+3,1.203e-7,1.470e+3
208.06,3.281e+2,1.200e-7,3.281e+2
208.08,6.198e+1,1.197e-7,6.198e+1
208.09,2.531e+1,1.195e-7,2.531e+1
208.11,3.724e+0,1.193e-7,3.724e+0
208.13,4.639e-1,1.190e-7,4.639e-1
208.14,1.538e-1,1.188e-7,1.538e-1
208.16,1.492e-2,1.185e-7,1.492e-2
208.18,1.226e-3,1.182e-7,1.226e-3
208.19,3.330e-4,1.181e-7,3.330e-4
208.21,6.881e-5,1.178e-7,6.881e-5
208.23,6.223e-4,1.175e-7,6.223e-4
208.24,2.106e-3,1.174e-7,2.106e-3
208.26,2.139e-2,1.171e-7,2.139e-2
208.28,1.841e-1,1.168e-7,1.841e-1
208.29,5.076e-1,1.167e-7,5.076e-1
208.31,3.408e+0,1.164e-7,3.408e+0
208.33,1.939e+1,1.161e-7,1.939e+1
208.34,4.346e+1,1.159e-7,4.346e+1
208.36,1.929e+2,1.157e-7,1.929e+2
208.38,7.254e+2,1.154e-7,7.254e+2
208.39,1.322e+3,1.152e-7,1.322e+3
208.41,3.879e+3,1.149e-7,3.879e+3
208.43,9.642e+3,1.146e-7,9.642e+3
208.44,1.429e+4,1.145e-7,1.429e+4
208.46,2.771e+4,1.142e-7,2.771e+4
208.48,4.553e+4,1.139e-7,4.553e+4
208.49,5.486e+4,1.138e-7,5.486e+4
208.51,7.032e+4,1.135e-7,7.032e+4
208.53,7.640e+4,1.132e-7,7.640e+4
208.54,7.483e+4,1.131e-7,7.483e+4
208.56,6.342e+4,1.128e-7,6.342e+4
208.58,4.561e+4,1.125e-7,4.561e+4
208.59,3.645e+4,1.123e-7,3.645e+4
208.61,2.121e+4,1.120e-7,2.121e+4
208.63,1.338e+4,1.118e-7,1.338e+4
208.64,1.341e+4,1.116e-7,1.341e+4
208.66,2.568e+4,1.113e-7,2.568e+4
208.68,6.537e+4,1.110e-7,6.537e+4
208.69,1.015e+5,1.109e-7,1.015e+5
208.71,2.189e+5,1.106e-7,2.189e+5
208.73,4.022e+5,1.103e-7,4.022e+5
208.74,5.128e+5,1.102e-7,5.128e+5
208.76,7.373e+5,1.099e-7,7.373e+5
208.78,9.003e+5,1.096e-7,9.003e+5
208.79,9.356e+5,1.094e-7,9.356e+5
208.81,8.940e+5,1.092e-7,8.940e+5
208.83,7.253e+5,1.089e-7,7.253e+5
208.84,6.145e+5,1.087e-7,6.145e+5
208.86,3.902e+5,1.084e-7,3.902e+5
208.88,2.104e+5,1.081e-7,2.104e+5
208.89,1.453e+5,1.080e-7,1.453e+5
208.91,6.132e+4,1.077e-7,6.132e+4
208.92,3.746e+4,1.076e-7,3.746e+4
208.94,1.237e+4,1.073e-7,1.237e+4
208.96,3.468e+3,1.070e-7,3.468e+3
208.97,1.727e+3,1.068e-7,1.727e+3
208.99,3.790e+2,1.066e-7,3.790e+2
209.01,7.060e+1,1.063e-7,7.060e+1
209.02,2.866e+1,1.061e-7,2.866e+1
209.04,4.177e+0,1.058e-7,4.177e+0
209.06,5.184e-1,1.055e-7,5.184e-1
209.07,1.764e-1,1.054e-7,1.764e-1
209.09,7.014e-2,1.051e-7,7.014e-2
209.11,4.548e-1,1.048e-7,4.548e-1
209.12,1.240e+0,1.047e-7,1.240e+0
209.14,8.200e+0,1.044e-7,8.200e+0
209.16,4.601e+1,1.041e-7,4.601e+1
209.17,1.025e+2,1.040e-7,1.025e+2
209.19,4.494e+2,1.037e-7,4.494e+2
209.21,1.672e+3,1.034e-7,1.672e+3
209.22,3.033e+3,1.032e-7,3.033e+3
209.24,8.823e+3,1.030e-7,8.823e+3
209.26,2.178e+4,1.027e-7,2.178e+4
209.27,3.217e+4,1.025e-7,3.217e+4
209.29,6.205e+4,1.022e-7,6.205e+4
209.31,1.016e+5,1.019e-7,1.016e+5
209.32,1.222e+5,1.018e-7,1.222e+5
209.34,1.563e+5,1.015e-7,1.563e+5
209.36,1.697e+5,1.012e-7,1.697e+5
209.37,1.662e+5,1.011e-7,1.662e+5
209.39,1.411e+5,1.008e-7,1.411e+5
209.41,1.016e+5,1.005e-7,1.016e+5
209.42,8.103e+4,1.004e-7,8.103e+4
